calc.001 | hHome | - | Hero | EN: Home | TR: Ana Sayfa
calc.002 | hCrumb | - | Hero | EN: Hiring Cost Calculator | TR: İşçi Maliyet Hesaplayıcı
calc.003 | hBadge | - | Hero | EN: 2026 rates · Updated January 2026 | TR: 2026 oranları · Ocak 2026'da güncellendi
calc.004 | hT1 | - | Hero | EN: What does a foreign worker | TR: Türkiye'de yabancı bir işçi
calc.005 | hT2 | - | Hero | EN: really cost | TR: gerçekte ne kadara
calc.006 | hT3 | - | Hero | EN: in Turkey? | TR: mal olur?
calc.007 | hSub | L | Hero | EN: Salary, SGK employer contribution, permit fees, flights and accommodation — calculated in one place, with 2026 | TR: Maaş, SGK işveren payı, izin harçları, uçak bileti ve konaklama — 2026
calc.008 | cReq | - | Hesaplayıcı | EN: Your requirement | TR: İhtiyacınız
calc.009 | cPerMonth | - | Hesaplayıcı | EN: Per month | TR: Aylık
calc.010 | cOneOff | - | Hesaplayıcı | EN: One-off | TR: Tek seferlik
calc.011 | cQuoteArrow | - | Hesaplayıcı | EN: Get an exact written quote → | TR: Yazılı net teklif alın →
calc.012 | cProfession | - | Hesaplayıcı | EN: Profession | TR: Meslek
calc.013 | cWorkers | - | Hesaplayıcı | EN: Number of workers | TR: İşçi sayısı
calc.014 | cContract | - | Hesaplayıcı | EN: Contract length | TR: Sözleşme süresi
calc.015 | cSalary | - | Hesaplayıcı | EN: Gross salary offered | TR: Teklif edilen brüt maaş
calc.016 | cCover | - | Hesaplayıcı | EN: What you cover | TR: Sizin karşıladıklarınız
calc.017 | cFlight | - | Hesaplayıcı | EN: Flight to Turkey | TR: Türkiye'ye uçak bileti
calc.018 | cAcc | - | Hesaplayıcı | EN: Accommodation | TR: Konaklama
calc.019 | cAccNote | - | Hesaplayıcı | EN: (shared, per worker) | TR: (paylaşımlı, işçi başına)
calc.020 | cSupport | - | Hesaplayıcı | EN: Minimum wage support | TR: Asgari ücret desteği
calc.021 | cSupportNote | - | Hesaplayıcı | EN: (₺1,270 / worker / month — if your workplace qualifies) | TR: (₺1.270 / işçi / ay — işyeriniz hak kazanıyorsa)
calc.022 | cSgkDisc | L | Hesaplayıcı | EN: SGK discount (teşvik) | TR: SGK teşvik indirimi
calc.023 | cEst | - | Hesaplayıcı | EN: Estimated cost | TR: Tahmini maliyet
calc.024 | cMonthly | - | Hesaplayıcı | EN: Monthly, recurring | TR: Aylık, tekrarlayan
calc.025 | cGross | - | Hesaplayıcı | EN: Gross salary | TR: Brüt maaş
calc.026 | cSgkEmp | L | Hesaplayıcı | EN: SGK employer contribution | TR: SGK işveren payı
calc.027 | cState | - | Hesaplayıcı | EN: (state) | TR: (devlet)
calc.028 | cMonthlyTotal | - | Hesaplayıcı | EN: Monthly total | TR: Aylık toplam
calc.029 | cOneOffY1 | - | Hesaplayıcı | EN: One-off, first year | TR: Tek seferlik, ilk yıl
calc.030 | cPermitFees | - | Hesaplayıcı | EN: Work permit + card fees | TR: Çalışma izni + kart harçları
calc.031 | cFlightTravel | - | Hesaplayıcı | EN: Flight & travel | TR: Uçak bileti ve seyahat
calc.032 | cServiceFee | - | Hesaplayıcı | EN: JobsAdmire service fee | TR: JobsAdmire hizmet bedeli
calc.033 | cQuotedWritten | - | Hesaplayıcı | EN: Not in this total | TR: Bu toplama dahil değil
calc.034 | cOneOffTotal | - | Hesaplayıcı | EN: One-off total | TR: Tek seferlik toplam
calc.035 | cFeeNote | - | Hesaplayıcı | EN: · Service fee not included — quoted in writing before we start. | TR: · Hizmet bedeli dahil değildir — işe başlamadan önce yazılı olarak bil
calc.036 | cQuoteBtn | - | Hesaplayıcı | EN: Get an exact written quote | TR: Yazılı net teklif alın
calc.037 | cPrint | - | Hesaplayıcı | EN: Print | TR: Yazdır
calc.038 | sea1 | - | Hesaplayıcı | EN: Seasonal note: permit and travel are paid once even for a short season, so the cost per month is higher — | TR: Sezonluk not: izin ve seyahat masrafları kısa bir sezon için bile bir 
calc.039 | sea2 | - | Hesaplayıcı | EN: per worker across the contract. | TR: .
calc.040 | cFine | L | Hesaplayıcı | EN: Estimates based on 2026 rates: minimum wage ₺33,030 gross, employer SGK 21.75% with the standard 2-point disco | TR: Tahminler 2026 oranlarına dayanır: asgari ücret brüt ₺33.030, standart
calc.041 | undefined | - | Kota kontrolü | EN: Can you hire | TR: 
calc.042 | cQuotaQ2 | - | Hesaplayıcı | EN: ? | TR: işçi alabilir misiniz?
calc.043 | cQuotaD1 | L | Hesaplayıcı | EN: Turkey's 5:1 rule means the workplace needs | TR: Türkiye'deki 5:1 kuralına göre bu sayı için işyerinde SGK'lı
calc.044 | cQuotaStaff | - | Hesaplayıcı | EN: Turkish employees | TR: Türk çalışan
calc.045 | cQuotaD2 | L | Hesaplayıcı | EN: on SGK for this many — unless your sector is exempt. | TR: bulunmalıdır — sektörünüz muaf değilse.
calc.046 | cQuotaM1 | L | Hesaplayıcı | EN: Needs | TR: SGK'lı
calc.047 | cQuotaStaffShort | - | Hesaplayıcı | EN: Turkish staff | TR: Türk çalışan
calc.048 | cQuotaM2 | L | Hesaplayıcı | EN: on SGK. | TR: gerekir.
calc.049 | cQuotaLink | - | Hesaplayıcı | EN: Check your quota → | TR: Kotanızı kontrol edin →
calc.050 | sTag | - | Sticky CTA / Maaş rehberi | EN: Want the exact number for your case? Written quote within 24 hours. | TR: Kendi durumunuz için net rakamı ister misiniz? 24 saat içinde yazılı t
calc.051 | sCall | - | Sticky CTA / Maaş rehberi | EN: Call | TR: Ara
calc.052 | sWa | - | Sticky CTA / Maaş rehberi | EN: WhatsApp quote | TR: WhatsApp'tan teklif
calc.053 | sReq | - | Sticky CTA / Maaş rehberi | EN: Request workers → | TR: İşçi talep edin →
calc.054 | jSalary | - | Bölüm başlıkları | EN: Salary guide | TR: Maaş rehberi
calc.055 | jQuota | - | Bölüm başlıkları | EN: Your quota | TR: Kotanız
calc.056 | jInc | - | Bölüm başlıkları | EN: Incentives | TR: Teşvikler
calc.057 | jPass | - | Bölüm başlıkları | EN: Will it pass? | TR: Geçer mi?
calc.058 | jPen | L | Bölüm başlıkları | EN: Penalties | TR: Cezalar
calc.059 | jFaq | - | Bölüm başlıkları | EN: FAQ | TR: SSS
calc.060 | aBasisT | - | Bölüm başlıkları | EN: What these numbers are based on | TR: Bu rakamlar neye dayanıyor
calc.061 | aBasisS | L | Bölüm başlıkları | EN: 2026 minimum wage, SGK rates, permit fees, travel | TR: 2026 asgari ücret, SGK oranları, izin harçları, seyahat
calc.062 | aSalT | - | Bölüm başlıkları | EN: Salary guide 2026 | TR: Maaş rehberi 2026
calc.063 | aSalS | - | Bölüm başlıkları | EN: Gross monthly ranges by profession | TR: Mesleğe göre aylık brüt aralıklar
calc.064 | aCmpT | - | Bölüm başlıkları | EN: Local hire vs overseas hire | TR: Yerli işe alım vs yurt dışından alım
calc.065 | aCmpS | - | Bölüm başlıkları | EN: What actually differs — and what does not | TR: Gerçekte ne değişir — ve ne değişmez
calc.066 | aQuoT | - | Bölüm başlıkları | EN: Are you allowed to hire? | TR: İşçi alabilir misiniz?
calc.067 | aQuoS | - | Bölüm başlıkları | EN: The 5:1 rule, exemptions and your quota | TR: 5:1 kuralı, muafiyetler ve kotanız
calc.068 | aPassT | - | Bölüm başlıkları | EN: Will your application pass? | TR: Başvurunuz geçer mi?
calc.069 | aPassS | - | Bölüm başlıkları | EN: 5 questions — the usual refusal reasons | TR: 5 soru — en sık ret nedenleri
calc.070 | aPenT | - | Bölüm başlıkları | EN: Cost of doing it the wrong way | TR: Yanlış yolun maliyeti
calc.071 | aPenS | L | Bölüm başlıkları | EN: 2026 fines for unregistered employment | TR: Kayıt dışı istihdam için 2026 cezaları
calc.072 | aStuT | - | Bölüm başlıkları | EN: Hiring foreign students in Turkey | TR: Türkiye'deki yabancı öğrencileri işe alma
calc.073 | aStuS | - | Bölüm başlıkları | EN: A different route, its own rules | TR: Farklı bir yol, kendi kuralları var
calc.074 | aFaqT | - | Bölüm başlıkları | EN: Cost questions | TR: Maliyet soruları
calc.075 | aFaqS | - | Bölüm başlıkları | EN: What employers ask about these numbers | TR: İşverenlerin bu rakamlar hakkında sordukları
calc.076 | bH | - | Dayanak (2026 verileri) | EN: What the numbers above are based on | TR: Yukarıdaki rakamlar neye dayanıyor
calc.077 | bSub | - | Dayanak (2026 verileri) | EN: Every figure in the calculator comes from public 2026 data — here is the source of each one. | TR: Hesaplayıcıdaki her rakam kamuya açık 2026 verilerinden gelir — her bi
