"id","page","route","section","legal","en","tr"
"home.001","Homepage","/","Menü ve genel etiketler","","About Us","Hakkımızda"
"home.002","Homepage","/","Menü ve genel etiketler","","Hire Workers","İşçi Talebi"
"home.003","Homepage","/","Menü ve genel etiketler","","Candidates","Adaylar"
"home.004","Homepage","/","Menü ve genel etiketler","","Work Permits","Çalışma İzinleri"
"home.005","Homepage","/","Menü ve genel etiketler","","Cost Calculator","Maliyet Hesaplama"
"home.006","Homepage","/","Menü ve genel etiketler","","Success Stories","Başarı Hikayeleri"
"home.007","Homepage","/","Menü ve genel etiketler","","Contact Us","İletişim"
"home.008","Homepage","/","Menü ve genel etiketler","","Partner With Us","İş Ortağı Olun"
"home.009","Homepage","/","Menü ve genel etiketler","","Join Our Team","Ekibimize Katılın"
"home.010","Homepage","/","Menü ve genel etiketler","","Blog and Guides","Rehberler"
"home.011","Homepage","/","Menü ve genel etiketler","","Verify a Representative","Temsilci Doğrulama"
"home.012","Homepage","/","Menü ve genel etiketler","","CRM Login","CRM Girişi"
"home.013","Homepage","/","Menü ve genel etiketler","","Blog","Rehberler"
"home.014","Homepage","/","Menü ve genel etiketler","","Request","Talep"
"home.015","Homepage","/","Menü ve genel etiketler","","Workers","Oluştur"
"home.016","Homepage","/","Menü ve genel etiketler","","Language","Dil"
"home.017","Homepage","/","Üst bölüm (Hero)","yes","Licensed · founder-signed · workers never pay","İŞKUR lisanslı · sözleşmeler kurucu imzasıyla · işçiden ücret alınmaz"
"home.018","Homepage","/","Üst bölüm (Hero)","","Skilled workers.","Nitelikli işçi."
"home.019","Homepage","/","Üst bölüm (Hero)","","Legal permits.","Yasal çalışma izni."
"home.020","Homepage","/","Üst bölüm (Hero)","","On your site.","İşyerinizde."
"home.021","Homepage","/","Üst bölüm (Hero)","yes","We source from 13 countries with our own people on the ground, file every work permit under law No. 4904, and get workers to your site ready to start.","JobsAdmire, 13 ülkeden kendi temsilcileriyle işçi temin eder, her çalışma izni başvurusunu 4904 sayılı kanun kapsamında yapar ve işçileri işe başlamaya hazır şekilde işyerinize ulaştırır."
"home.022","Homepage","/","Üst bölüm (Hero)","","Request workers →","İşçi talep edin →"
"home.023","Homepage","/","Üst bölüm (Hero)","","See available workers","Mevcut adayları görün"
"home.024","Homepage","/","Üst bölüm (Hero)","","Free proposal within 24 hours","24 saat içinde ücretsiz teklif"
"home.025","Homepage","/","Talep formu","","Request workers","İşçi talebi"
"home.026","Homepage","/","Talep formu","","Tell us what you need","İhtiyacınızı yazın"
"home.027","Homepage","/","Talep formu","","Reply within 24 hours","24 saat içinde yanıt"
"home.028","Homepage","/","Talep formu","","Candidate profiles, real monthly cost and a permit timeline — free.","Aday profilleri, gerçek aylık maliyet ve çalışma izni takvimi — ücretsiz."
"home.029","Homepage","/","Talep formu","","Get free proposal →","Ücretsiz teklif alın →"
"home.030","Homepage","/","Talep formu","","Ask us to call you","Sizi arayalım"
"home.031","Homepage","/","Talep formu","","Leave your number and the Antalya team calls you back — usually within a few working hours.","Numaranızı bırakın, Antalya ekibi sizi arasın — genellikle birkaç iş saati içinde."
"home.032","Homepage","/","Talep formu","","Company name","Firma adı"
"home.033","Homepage","/","Talep formu","","Contact person","İletişim kişisi"
"home.034","Homepage","/","Talep formu","","Phone / WhatsApp","Telefon / WhatsApp"
"home.035","Homepage","/","Talep formu","","Sector","Sektör"
"home.036","Homepage","/","Talep formu","","Factory / Manufacturing","Fabrika / Üretim"
"home.037","Homepage","/","Talep formu","","Agriculture","Tarım"
"home.038","Homepage","/","Talep formu","","Tourism / Hospitality","Turizm / Konaklama"
"home.039","Homepage","/","Talep formu","","Construction","İnşaat"
"home.040","Homepage","/","Talep formu","","Other","Diğer"
"home.041","Homepage","/","Talep formu","","Workers needed","İşçi sayısı"
